OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1076,24,2,2/7/2018 10:56:00 AM,2900 BLOCK RORER ST,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,2/7/2018 10:56:01 AM,5,56,1,820,-75.1213,39.9929
1077,24,2,8/12/2018 1:44:00 AM,2900 BLOCK KENSINGTON AVE,500,Burglary Residential,EPD,242,Property Crime,Burglary,8/12/2018 1:44:01 AM,21,44,1,825,-75.1189,39.9934
1078,24,2,8/26/2018 6:56:00 PM,2000 BLOCK E STELLA ST,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,8/26/2018 6:56:01 PM,14,56,1,827,-75.1156,39.9916
1079,24,2,1/6/2018 5:10:00 AM,3000 BLOCK RORER ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,1/6/2018 5:10:01 AM,0,10,1,835,-75.121,39.9944
1080,24,2,9/5/2018 11:50:00 AM,3100 BLOCK RORER ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,9/5/2018 11:50:01 AM,7,50,1,861,-75.1207,39.9958
1081,24,2,11/14/2018 6:54:00 PM,1800 BLOCK E CLEMENTINE ST,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,11/14/2018 6:54:01 PM,13,54,1,866,-75.1138,39.9944
1082,24,2,3/15/2018 4:22:00 PM,3100 BLOCK KENSINGTON AV,600,Thefts,EPD,242,Property Crime,Larceny,3/15/2018 4:22:01 PM,12,22,1,868,-75.1152,39.9956
1083,24,2,10/3/2018 12:19:00 PM,2900 BLOCK KENSINGTON AVE,600,Thefts,EPD,242,Property Crime,Larceny,10/3/2018 12:19:01 PM,8,19,1,889,-75.1203,39.9927
1084,24,2,5/6/2018 9:58:00 AM,3100 BLOCK RORER ST,600,Thefts,EPD,242,Property Crime,Larceny,5/6/2018 9:58:01 AM,5,58,1,892,-75.1204,39.9966
1085,24,2,8/11/2018 8:31:00 PM,1900 BLOCK E WISHART ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,8/11/2018 8:31:01 PM,16,31,1,900,-75.113,39.9947
1086,24,2,12/19/2018 9:41:00 PM,3100 BLOCK HARTVILLE ST,100,Homicide - Criminal,EPD,242,Violent Crime,Murder,12/19/2018 9:41:01 PM,16,41,1,901,-75.1201,39.9961
1087,24,2,12/1/2018 11:30:00 AM,1900 BLOCK E WISHART ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,12/1/2018 11:30:01 AM,6,30,1,908,-75.1126,39.9944
